id_cliente,tipo_cliente,documento,data_cadastro,cidade,uf,segmento,score_credito,renda_mensal,id_proposta,data_proposta,canal_origem,produto_credito,valor_solicitado,prazo_meses,taxa_mensal_solicitada,status_proposta,motivo_recusa,qtd_contratos,flag_tem_contrato,data_primeira_contratacao,data_ultima_contratacao,valor_liberado_total,taxa_mensal_final_media,prazo_final_meses_medio,status_contratos,canais_originacao,produtos_credito_finais,qtd_parcelas,primeiro_vencimento,ultimo_vencimento,valor_parcelas_total,valor_principal_total,valor_juros_total,status_parcelas,qtd_pagamentos,data_primeiro_pagamento,data_ultimo_pagamento,valor_pago_total,valor_multa_total,valor_juros_mora_total,valor_desconto_total,indice_liberado_sobre_solicitado,indice_credito_sobre_renda,dias_proposta_ate_contratacao,valor_mora_total
10376.0,PJ,2726149331637,2024-03-25,Recife,PE,Mass Market,407.0,30536.42,200010,2025-11-16,App,Parcelado,5518.40,24,0.113500,APROVADA,,1,1,2025-11-26,2025-11-26,2247.09,0.0661000000,12.0,ATIVO,App,Parcelado,12,2025-12-26,2026-11-21,2227.41,1910.04,337.08,ABERTA | PAGA,9,2026-01-25,2026-11-23,1267.73,0.00,0.00,2.38,0.4072,0.0736,10.0,0.00
10045.0,PF,67632016328,2024-09-06,Florianópolis,SC,Premium,688.0,21780.51,200011,2025-04-20,App,Parcelado,26998.02,18,0.086400,APROVADA,,1,1,2025-04-30,2025-04-30,5237.79,0.0928000000,9.0,LIQUIDADO,App,Parcelado,9,2025-05-30,2026-01-25,5177.99,4452.12,785.70,ABERTA | PAGA,8,2025-05-30,2026-02-04,3971.42,0.00,0.00,0.00,0.1940,0.2405,10.0,0.00
10159.0,PF,56909275571,2024-12-04,Salvador,BA,Premium,453.0,7070.23,200012,2025-10-17,Indicação,Capital de Giro,23415.70,12,0.074900,RECUSADA,Score baixo,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10462.0,PF,89448463122,2025-02-09,São Paulo,SP,Premium,787.0,4337.69,200013,2025-09-05,App,Consignado,2756.16,12,0.079100,APROVADA,,1,1,2025-09-06,2025-09-06,5829.55,0.0397000000,12.0,ATIVO,App,Consignado,12,2025-10-06,2026-09-01,5846.07,4955.16,874.44,ABERTA | PAGA,6,2025-10-08,2026-08-03,2807.87,0.00,0.00,0.00,2.1151,1.3439,1.0,0.00
10079.0,PF,74680715451,2024-04-16,Salvador,BA,Mass Market,608.0,5295.38,200014,2025-12-01,App,Parcelado,29608.51,18,0.113900,APROVADA,,1,1,2025-12-06,2025-12-06,8681.73,0.0939000000,24.0,ATIVO,App,Parcelado,12,2026-01-05,2026-12-01,8710.52,7379.52,1302.24,ABERTA | ATRASADA | PAGA,9,2026-01-07,2026-12-01,6542.80,2.16,8.48,12.94,0.2932,1.6395,5.0,10.64
10309.0,PF,1039308705,2025-08-31,Recife,PE,Mass Market,341.0,1776.72,200015,2025-12-07,App,Parcelado,8505.30,12,0.097800,APROVADA,,1,1,2025-12-17,2025-12-17,27852.59,0.0796000000,9.0,ATIVO,App,Parcelado,9,2026-01-16,2026-09-13,31283.47,26305.20,4642.10,ABERTA | PAGA,6,2026-02-20,2026-09-23,14978.87,0.00,0.00,0.00,3.2747,15.6764,10.0,0.00
10085.0,PF,40449972787,2025-06-28,Belo Horizonte,MG,PME,340.0,2962.33,200016,2025-09-19,WhatsApp,Parcelado,3408.20,3,0.017500,APROVADA,,1,1,2025-10-01,2025-10-01,4263.26,0.0950000000,18.0,ATIVO,WhatsApp,Parcelado,9,2025-10-31,2026-06-28,4151.64,3623.76,639.45,ABERTA | ATRASADA | PAGA,7,2025-11-01,2026-07-18,2763.71,4.58,5.78,0.00,1.2509,1.4392,12.0,10.36
10091.0,PF,24005045562,2024-04-06,São Paulo,SP,MEI,518.0,8688.65,200017,2025-11-30,Loja Parceira,Antecipação,24964.77,6,0.071100,APROVADA,,1,1,2025-12-09,2025-12-09,17520.54,0.0407000000,12.0,ATIVO,Loja Parceira,Antecipação,12,2026-01-08,2026-12-04,17324.73,14892.48,2628.12,ABERTA | PAGA,7,2026-01-28,2026-11-05,8669.52,0.00,0.00,20.37,0.7018,2.0165,9.0,0.00
10147.0,PF,86143410369,2025-07-12,Recife,PE,Premium,516.0,10831.84,200018,2025-12-27,WhatsApp,Parcelado,21346.93,18,0.087300,APROVADA,,1,1,2026-01-05,2026-01-05,17485.66,0.0254000000,9.0,ATIVO,WhatsApp,Parcelado,9,2026-02-04,2026-10-02,17362.68,14862.78,2622.87,ABERTA | ATRASADA | PAGA,10,2026-02-04,2026-10-12,15226.39,45.04,61.31,20.51,0.8191,1.6143,9.0,106.35
10160.0,PF,92856543102,2025-04-16,Recife,PE,PME,345.0,4167.82,200019,2025-08-01,App,Parcelado,18707.95,9,0.093600,RECUSADA,Renda insuficiente,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10201.0,PF,91878519108,2025-12-02,Florianópolis,SC,MEI,620.0,7164.43,200020,2025-08-11,Loja Parceira,Capital de Giro,5101.44,18,0.037400,RECUSADA,Score baixo,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10423.0,PF,31498643009,2024-09-16,Goiânia,GO,PME,306.0,2284.28,200021,2025-07-05,App,Antecipação,14615.64,9,0.106100,APROVADA,,1,1,2025-07-15,2025-07-15,19950.18,0.0847000000,12.0,ATIVO,App,Antecipação,12,2025-08-14,2026-07-10,20149.82,16957.68,2992.56,ABERTA | ATRASADA | PAGA,8,2025-09-14,2026-07-15,13201.21,7.15,11.77,0.00,1.3650,8.7337,10.0,18.92
10415.0,PF,17773926030,2024-10-07,Curitiba,PR,Premium,564.0,10886.33,200022,2025-11-05,Televendas,Parcelado,23526.40,12,0.115400,APROVADA,,1,1,2025-11-09,2025-11-09,10165.82,0.0839000000,6.0,ATIVO,Televendas,Parcelado,6,2025-12-09,2026-05-08,10273.11,8640.96,1524.90,ABERTA | ATRASADA | PAGA,4,2025-12-09,2026-03-11,6708.23,9.48,5.07,26.61,0.4321,0.9338,4.0,14.55
10241.0,PJ,65965756924593,2025-02-14,Goiânia,GO,Mass Market,481.0,7616.61,200023,2025-11-07,Loja Parceira,Antecipação,9456.91,3,0.039900,APROVADA,,1,1,2025-11-17,2025-11-17,11124.78,0.0668000000,3.0,LIQUIDADO,Loja Parceira,Antecipação,3,2025-12-17,2026-02-15,11062.31,9456.06,1668.72,ABERTA | PAGA,4,2025-12-17,2026-02-20,10856.02,0.00,0.00,0.00,1.1764,1.4606,10.0,0.00
10352.0,PF,96666760083,2025-01-18,Porto Alegre,RS,PME,402.0,3881.37,200024,2025-01-23,App,Parcelado,9694.85,6,0.107700,APROVADA,,1,1,2025-02-04,2025-02-04,23607.85,0.0540000000,9.0,ATIVO,App,Parcelado,9,2025-03-06,2025-11-01,23609.48,20066.67,3541.14,ABERTA | PAGA,4,2025-03-11,2025-10-22,10236.11,0.00,0.00,0.00,2.4351,6.0823,12.0,0.00
10001.0,PJ,133890838637,2025-05-23,São Paulo,SP,Premium,410.0,13186.90,200025,2025-11-24,App,Capital de Giro,592.66,24,0.025200,APROVADA,,1,1,2025-11-24,2025-11-24,17108.88,0.0256000000,12.0,ATIVO,App,Capital de Giro,12,2025-12-24,2026-11-19,17025.34,14542.56,2566.32,ABERTA | ATRASADA | PAGA,7,2026-01-23,2026-10-22,8390.23,32.75,5.58,0.00,28.8680,1.2974,0.0,38.33
10224.0,PF,12038750997,2024-05-31,Recife,PE,PME,518.0,4763.15,200026,2025-12-19,App,Parcelado,5640.18,24,0.020800,PENDENTE,,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10288.0,PF,80238061744,2024-05-31,Rio de Janeiro,RJ,Premium,701.0,20396.06,200027,2025-01-01,App,Capital de Giro,26324.47,12,0.028600,RECUSADA,Política,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10232.0,PF,50163159996,2024-08-29,Porto Alegre,RS,PME,558.0,8116.12,200028,2025-07-23,App,Parcelado,13531.52,12,0.021100,PENDENTE,,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10460.0,PF,6493085368,2025-06-05,Recife,PE,Emergente,578.0,1268.18,200029,2025-12-23,Loja Parceira,Antecipação,29534.92,12,0.103700,RECUSADA,Fraude,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10413.0,PF,77908272318,2025-10-21,Fortaleza,CE,MEI,344.0,2470.22,200030,2025-02-09,Loja Parceira,Capital de Giro,12173.38,12,0.021200,APROVADA,,1,1,2025-02-21,2025-02-21,17793.14,0.0455000000,18.0,LIQUIDADO,Loja Parceira,Capital de Giro,9,2025-03-23,2025-11-18,17520.38,15124.14,2668.95,ABERTA | PAGA,9,2025-04-24,2025-11-18,11491.22,0.00,0.00,24.58,1.4616,7.2031,12.0,0.00
10416.0,PF,29922809202,2024-03-03,Fortaleza,CE,Mass Market,404.0,2464.40,200031,2025-04-13,App,Capital de Giro,21598.00,12,0.043500,APROVADA,,1,1,2025-04-15,2025-04-15,26209.46,0.0139000000,12.0,ATIVO,App,Capital de Giro,12,2025-05-15,2026-04-10,26416.75,22278.00,3931.44,ABERTA | PAGA,6,2025-06-19,2026-04-12,13028.41,0.00,0.00,0.00,1.2135,10.6352,2.0,0.00
10076.0,PJ,71906594013990,2025-06-09,Florianópolis,SC,Emergente,437.0,5028.15,200032,2025-01-12,App,Antecipação,8816.61,3,0.025900,APROVADA,,1,1,2025-01-18,2025-01-18,23567.60,0.0761000000,6.0,LIQUIDADO,App,Antecipação,6,2025-02-17,2025-07-17,23585.66,20032.44,3535.14,ABERTA | ATRASADA | PAGA,5,2025-02-22,2025-06-27,19539.81,88.82,69.94,1.95,2.6731,4.6871,6.0,158.76
10115.0,PJ,15280988516560,2024-06-11,Porto Alegre,RS,MEI,550.0,19731.67,200033,2025-06-07,App,Antecipação,11232.38,12,0.046000,APROVADA,,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10153.0,PF,30305486874,2024-07-27,São Paulo,SP,PME,398.0,2322.57,200034,2025-08-03,Televendas,Parcelado,6126.42,18,0.024500,PENDENTE,,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10405.0,PJ,57775478129142,2025-08-09,São Paulo,SP,Emergente,511.0,6724.90,200035,2025-08-16,App,Parcelado,10738.34,24,0.085100,APROVADA,,1,1,2025-08-17,2025-08-17,6866.23,0.0294000000,6.0,CANCELADO,App,Parcelado,6,2025-09-16,2026-02-13,6992.08,5836.32,1029.96,ABERTA,0,,,0.00,0.00,0.00,0.00,0.6394,1.0210,1.0,0.00
10102.0,PF,17461200471,2024-04-07,Goiânia,GO,PME,432.0,5248.70,200036,2025-09-17,WhatsApp,Consignado,16643.51,3,0.029000,RECUSADA,Fraude,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10193.0,PF,40193802620,2025-09-28,Porto Alegre,RS,PME,346.0,2655.75,200037,2025-05-28,Televendas,Parcelado,29757.30,18,0.104400,APROVADA,,1,1,2025-06-09,2025-06-09,13561.57,0.0927000000,12.0,ATIVO,Televendas,Parcelado,12,2025-07-09,2026-06-04,13672.76,11527.32,2034.24,ABERTA | ATRASADA | PAGA,13,2025-07-10,2026-06-04,12335.59,54.20,50.83,39.10,0.4557,5.1065,12.0,105.03
10165.0,PJ,29114678669125,2025-10-14,Salvador,BA,Mass Market,508.0,11027.46,200038,2025-06-08,Loja Parceira,Capital de Giro,20093.95,12,0.100800,RECUSADA,Política,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10358.0,PJ,167618472304,2025-01-04,Florianópolis,SC,Premium,428.0,14362.48,200039,2025-03-18,Televendas,Consignado,6377.76,12,0.016400,PENDENTE,,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10089.0,PF,45961586578,2024-04-20,Fortaleza,CE,Emergente,430.0,5764.20,200040,2025-03-05,App,Parcelado,1826.36,6,0.109100,RECUSADA,Política,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10173.0,PF,56258815371,2025-10-06,Fortaleza,CE,Mass Market,357.0,1185.07,200041,2025-02-20,Indicação,Capital de Giro,4227.52,12,0.018000,RECUSADA,Renda insuficiente,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10121.0,PJ,79764381561497,2024-11-16,Fortaleza,CE,Premium,426.0,13143.21,200042,2025-07-22,App,Parcelado,17095.38,9,0.040200,APROVADA,,1,1,2025-07-23,2025-07-23,1241.62,0.0146000000,18.0, LIQUIDADO ,App,Parcelado,9,2025-08-22,2026-04-19,1242.24,1055.34,186.21,ABERTA | ATRASADA | PAGA,9,2025-09-01,2026-04-29,1087.71,1.94,1.52,0.99,0.0726,0.0945,1.0,3.46
10497.0,PF,33521103924,2024-02-14,Recife,PE,PME,469.0,7875.60,200043,2025-11-03,App,Capital de Giro,23072.23,9,0.018400,RECUSADA,Fraude,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10142.0,PF,39240758181,2024-06-28,Fortaleza,CE,MEI,331.0,3172.02,200044,2025-05-12,WhatsApp,Parcelado,28242.37,18,0.050300,PENDENTE,,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10481.0,PF,86338392886,2025-06-23,Goiânia,GO,MEI,415.0,2139.96,200045,2025-06-01,Indicação,Parcelado,966.78,18,0.069000,RECUSADA,Renda insuficiente,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10105.0,PF,58506431713,2025-04-19,Recife,PE,Premium,731.0,22948.96,200046,2025-04-16,Televendas,Capital de Giro,15921.42,12,0.098600,RECUSADA,Renda insuficiente,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10374.0,PF,50375899757,2024-10-09,Goiânia,GO,PME,468.0,4235.21,200047,2025-11-14,App,Antecipação,14390.59,24,0.050500,RECUSADA,Política,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10427.0,PJ,49562137213865,2025-08-13,Belo Horizonte,MG,PME,302.0,20064.78,200048,2025-02-15,App,Antecipação,19853.62,9,0.089100,RECUSADA,Fraude,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10304.0,PF,26383806578,2024-10-16,Fortaleza,CE,Premium,384.0,4391.52,200049,2025-01-05,Indicação,Parcelado,17007.58,6,0.034700,APROVADA,,1,1,2025-01-11,2025-01-11,20880.18,0.0569000000,12.0,CANCELADO,Indicação,Parcelado,12,2025-02-10,2026-01-06,21018.66,17748.12,3132.00,ABERTA,1,2025-12-12,2025-12-12,1703.63,0.00,0.00,0.00,1.2277,4.7547,6.0,0.00
10304.0,PF,26383806578,2024-10-16,Fortaleza,CE,Premium,301.0,5333.30,200049,2025-01-05,Indicação,Parcelado,17007.58,6,0.034700,APROVADA,,1,1,2025-01-11,2025-01-11,20880.18,0.0569000000,12.0,CANCELADO,Indicação,Parcelado,12,2025-02-10,2026-01-06,21018.66,17748.12,3132.00,ABERTA,1,2025-12-12,2025-12-12,1703.63,0.00,0.00,0.00,1.2277,3.9151,6.0,0.00
10359.0,PF,61849926189,2025-08-06,Curitiba,PR,PME,533.0,8772.22,200050,2025-08-25,App,Parcelado,20767.65,12,0.093800,RECUSADA,Política,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10458.0,PF,83174564240,2025-01-05,Salvador,BA,Mass Market,444.0,1239.82,200051,2025-02-22,WhatsApp,Capital de Giro,19913.44,6,0.039800,APROVADA,,1,1,2025-03-02,2025-03-02,21626.39,0.0559000000,9.0,CANCELADO,WhatsApp,Capital de Giro,9,2025-04-01,2025-11-27,21607.88,18382.41,3243.96,ABERTA | ATRASADA,2,2025-08-29,2025-12-02,4653.21,66.27,31.76,0.00,1.0860,17.4432,8.0,98.03
10316.0,PF,67626765861,2024-12-02,São Paulo,SP,Premium,665.0,12011.83,200052,2025-11-19,Televendas,Parcelado,3951.85,9,0.030100,APROVADA,,1,1,2025-11-20,2025-11-20,29979.83,0.0689000000,3.0,ATIVO,Televendas,Parcelado,3,2025-12-20,2026-02-18,30386.49,25482.87,4496.97,ABERTA | PAGA,2,2026-01-24,2026-02-08,19191.37,0.00,0.00,0.00,7.5863,2.4959,1.0,0.00
10450.0,PJ,45587716947225,2024-12-21,São Paulo,SP,Premium,454.0,18182.76,200053,2025-08-28,Loja Parceira,Consignado,24091.68,6,0.034500,APROVADA,,1,1,2025-08-29,2025-08-29,27581.31,0.0479000000,24.0,ATIVO,Loja Parceira,Consignado,12,2025-09-28,2026-08-24,27126.17,23444.16,4137.24,ABERTA | ATRASADA | PAGA,10,2025-10-08,2026-08-24,20257.27,186.86,68.61,41.87,1.1448,1.5169,1.0,255.47
10122.0,PF,84036900343,2025-03-26,Rio de Janeiro,RJ,PME,393.0,4472.91,200054,2025-12-21,App,Antecipação,4135.36,3,0.034100,APROVADA,,1,1,2025-12-27,2025-12-27,14543.73,0.1095000000,18.0,LIQUIDADO,App,Antecipação,9,2026-01-26,2026-09-23,14442.51,12362.13,2181.60,ABERTA | ATRASADA | PAGA,6,2026-01-27,2026-07-15,7860.04,48.57,13.91,0.00,3.5169,3.2515,6.0,62.48
10389.0,PJ,90947985158328,2024-06-02,Goiânia,GO,PME,672.0,38131.37,200055,2025-02-19,Loja Parceira,Capital de Giro,21106.65,18,0.068900,APROVADA,,1,1,2025-03-01,2025-03-01,17205.74,0.0570000000,3.0,ATIVO,Loja Parceira,Capital de Giro,3,2025-03-31,2025-05-30,17351.22,14624.88,2580.87,ABERTA | PAGA,2,2025-05-05,2025-06-09,11623.03,0.00,0.00,43.75,0.8152,0.4512,10.0,0.00
10008.0,PF,76724238849,2025-10-28,Belo Horizonte,MG,MEI,420.0,3273.91,200056,2025-02-19,App,Consignado,12776.29,6,0.103700,APROVADA,,1,1,2025-02-23,2025-02-23,20092.51,0.0771000000,18.0,ATIVO,App,Consignado,9,2025-03-25,2025-11-20,20080.43,17078.67,3013.92,ABERTA | ATRASADA | PAGA,4,2025-04-04,2025-11-25,8840.93,67.57,26.31,41.15,1.5726,6.1372,4.0,93.88
10261.0,PJ,85807836134074,2025-02-21,Belo Horizonte,MG,MEI,557.0,22564.79,200057,2025-10-21,Televendas,Parcelado,15658.60,12,0.023400,APROVADA,,1,1,2025-10-25,2025-10-25,5301.89,0.0668000000,12.0,LIQUIDADO,Televendas,Parcelado,12,2025-11-24,2026-10-20,5364.14,4506.60,795.24,ABERTA | PAGA,12,2025-12-14,2026-10-22,4410.06,0.00,0.00,7.00,0.3386,0.2350,4.0,0.00
10072.0,PF,41232812067,2025-02-16,Fortaleza,CE,Mass Market,429.0,1751.93,200058,2025-11-10,Loja Parceira,Capital de Giro,27147.29,3,0.089200,APROVADA,,1,1,2025-11-22,2025-11-22,17680.83,0.1087000000,12.0,CANCELADO,Loja Parceira,Capital de Giro,12,2025-12-22,2026-11-17,17518.85,15028.68,2652.12,ABERTA | ATRASADA,4,2026-05-26,2026-09-18,5653.96,32.78,69.95,0.00,0.6513,10.0922,12.0,102.73
10358.0,PJ,167618472304,2025-01-04,Florianópolis,SC,Premium,428.0,14362.48,200059,2025-11-22,Televendas,Parcelado,26751.57,18,0.083700,APROVADA,,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
,,,,,,,,,200060,2025-09-11,App,Consignado,24626.76,9,0.106600,RECUSADA,Fraude,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,,,0.00
10415.0,PF,17773926030,2024-10-07,Curitiba,PR,Premium,564.0,10886.33,200061,2025-12-05,Indicação,Parcelado,15549.38,18,0.040600,PENDENTE,,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10040.0,PF,59514846564,2025-12-30,Porto Alegre,RS,MEI,593.0,4970.72,200062,2025-08-15,App,Capital de Giro,22219.07,12,0.062300,RECUSADA,Renda insuficiente,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10369.0,PF,37562890028,2025-12-18,Recife,PE,Emergente,729.0,800.00,200063,2025-06-15,App,Antecipação,15630.46,6,0.112200,PENDENTE,,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10203.0,PJ,97187072867908,2024-05-11,Curitiba,PR,Mass Market,365.0,8530.84,200064,2025-06-04,App,Parcelado,26153.38,12,0.084300,RECUSADA,Fraude,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10263.0,PF,92330958498,2025-01-21,Goiânia,GO,MEI,565.0,4602.69,200065,2025-10-26,WhatsApp,Parcelado,12381.89,6,0.055800,APROVADA,,1,1,2025-11-04,2025-11-04,13370.89,0.0773000000,6.0,ATIVO,WhatsApp,Parcelado,6,2025-12-04,2026-05-03,13248.57,11365.26,2005.62,ABERTA | PAGA,2,2026-01-05,2026-02-02,4341.92,0.00,0.00,0.00,1.0799,2.9050,9.0,0.00
